Delayed,Season,Day,Time Period,Station,Bound,Line,Min Gap,Issue Category
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Other
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,10,Human & Operational Factors
1,Winter,Friday,Evening,KENNEDY BD STATION,W,BD,29,Other
1,Winter,Friday,Evening,KENNEDY BD STATION,W,BD,8,Other
1,Winter,Friday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Night,BLOOR STATION,S,YU,14,Other
1,Winter,Friday,Night,FINCH STATION,N,YU,10,Human & Operational Factors
1,Winter,Friday,Night,EGLINTON STATION,S,YU,8,Other
1,Winter,Friday,Night,EGLINTON STATION,S,YU,12,Other
0,Winter,Saturday,Morning,BLOOR STATION,N,YU,0,Other
1,Winter,Saturday,Afternoon,FINCH STATION,S,YU,8,Human & Operational Factors
0,Winter,Saturday,Afternoon,KENNEDY BD STATION,E,BD,0,Human & Operational Factors
1,Winter,Saturday,Afternoon,BLOOR STATION,S,YU,7,Human & Operational Factors
0,Winter,Saturday,Afternoon,BLOOR STATION,S,YU,0,Human & Operational Factors
1,Winter,Saturday,Evening,FINCH STATION,S,YU,8,Human & Operational Factors
1,Winter,Saturday,Evening,EGLINTON STATION,S,YU,8,Miscellaneous & Passenger-Related Incidents
1,Winter,Saturday,Night,FINCH STATION,S,YU,10,Human & Operational Factors
1,Winter,Sunday,Afternoon,FINCH STATION,S,YU,10,Other
1,Winter,Sunday,Night,KIPLING STATION,W,BD,11,Human & Operational Factors
1,Winter,Sunday,Night,FINCH STATION,S,YU,14,Other
1,Winter,Sunday,Night,FINCH STATION,S,YU,12,Human & Operational Factors
0,Winter,Sunday,Night,BLOOR STATION,N,YU,0,Other
1,Winter,Monday,Morning,FINCH STATION,S,YU,6,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Monday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Monday,Afternoon,KENNEDY BD STATION,W,BD,6,Miscellaneous & Passenger-Related Incidents
1,Winter,Monday,Afternoon,EGLINTON STATION,S,YU,16,Other
1,Winter,Monday,Afternoon,FINCH STATION,S,YU,11,Human & Operational Factors
0,Winter,Monday,Evening,BLOOR STATION,S,YU,0,Other
1,Winter,Monday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,KENNEDY BD STATION,W,BD,7,Miscellaneous & Passenger-Related Incidents
1,Winter,Tuesday,Afternoon,KENNEDY BD STATION,W,BD,7,Other
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Afternoon,EGLINTON STATION,S,YU,7,Other
0,Winter,Tuesday,Night,KENNEDY BD STATION,W,BD,0,Other
0,Winter,Tuesday,Night,EGLINTON STATION,N,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Tuesday,Night,FINCH STATION,S,YU,10,Human & Operational Factors
1,Winter,Tuesday,Night,FINCH STATION,N,YU,13,Other
0,Winter,Wednesday,Morning,BLOOR STATION,N,YU,0,Other
0,Winter,Wednesday,Morning,FINCH STATION,N,YU,0,Human & Operational Factors
1,Winter,Wednesday,Morning,EGLINTON STATION,N,YU,6,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Wednesday,Afternoon,BLOOR STATION,N,YU,0,Human & Operational Factors
1,Winter,Wednesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Afternoon,EGLINTON STATION,S,YU,10,Other
0,Winter,Wednesday,Afternoon,KENNEDY BD STATION,W,BD,0,Other
1,Winter,Wednesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Evening,EGLINTON STATION,S,YU,13,Other
0,Winter,Wednesday,Night,FINCH STATION,S,YU,0,Other
0,Winter,Thursday,Night,KIPLING STATION,E,BD,0,Other
1,Winter,Thursday,Morning,EGLINTON STATION,S,YU,8,Other
1,Winter,Thursday,Morning,EGLINTON STATION,S,YU,6,Other
0,Winter,Thursday,Evening,BLOOR STATION,S,YU,0,Other
1,Winter,Thursday,Night,FINCH STATION,S,YU,10,Human & Operational Factors
0,Winter,Thursday,Night,FINCH STATION,S,YU,0,Other
1,Winter,Friday,Morning,EGLINTON STATION,S,YU,9,Other
1,Winter,Friday,Morning,KENNEDY BD STATION,E,BD,8,Other
0,Winter,Friday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Friday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Friday,Morning,KIPLING STATION,E,BD,0,Miscellaneous & Passenger-Related Incidents
0,Winter,Friday,Morning,KIPLING STATION,E,BD,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Friday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Friday,Evening,BLOOR STATION,N,YU,0,Other
1,Winter,Friday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Friday,Evening,BLOOR STATION,S,YU,0,Other
1,Winter,Friday,Night,EGLINTON STATION,S,YU,9,Other
0,Winter,Saturday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Saturday,Morning,EGLINTON STATION,S,YU,14,Other
0,Winter,Saturday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Saturday,Afternoon,KENNEDY BD STATION,E,BD,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Saturday,Afternoon,BLOOR STATION,N,YU,0,Human & Operational Factors
1,Winter,Saturday,Afternoon,EGLINTON STATION,S,YU,10,Other
1,Winter,Saturday,Evening,KIPLING STATION,E,BD,14,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Saturday,Night,EGLINTON STATION,S,YU,0,Other
1,Winter,Sunday,Morning,EGLINTON STATION,N,YU,12,Human & Operational Factors
0,Winter,Sunday,Morning,EGLINTON STATION,N,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Sunday,Morning,KENNEDY BD STATION,W,BD,0,Human & Operational Factors
1,Winter,Sunday,Night,EGLINTON STATION,S,YU,12,Human & Operational Factors
1,Winter,Monday,Evening,KIPLING STATION,W,BD,59,Other
1,Winter,Monday,Evening,KIPLING STATION,E,BD,10,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Monday,Evening,BLOOR STATION,N,YU,6,Other
1,Winter,Monday,Night,BLOOR STATION,N,YU,9,Miscellaneous & Passenger-Related Incidents
0,Winter,Monday,Night,FINCH STATION,N,YU,0,Human & Operational Factors
1,Winter,Monday,Night,KIPLING STATION,W,BD,14,Other
0,Winter,Monday,Night,KIPLING STATION,E,BD,0,Other
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,BLOOR STATION,S,YU,7,Other
1,Winter,Tuesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Morning,KIPLING STATION,E,BD,10,Other
1,Winter,Tuesday,Afternoon,BLOOR STATION,N,YU,8,Other
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Tuesday,Evening,BLOOR STATION,S,YU,0,Other
0,Winter,Tuesday,Evening,BLOOR STATION,N,YU,0,Other
1,Winter,Tuesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Evening,BLOOR STATION,N,YU,6,Miscellaneous & Passenger-Related Incidents
1,Winter,Tuesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Night,KENNEDY BD STATION,W,BD,14,Human & Operational Factors
1,Winter,Tuesday,Night,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Night,EGLINTON STATION,N,YU,23,Other
1,Winter,Tuesday,Night,FINCH STATION,S,YU,14,Human & Operational Factors
0,Winter,Tuesday,Night,FINCH STATION,N,YU,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Wednesday,Morning,BLOOR STATION,N,YU,0,Miscellaneous & Passenger-Related Incidents
0,Winter,Wednesday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Wednesday,Morning,BLOOR STATION,S,YU,0,Other
1,Winter,Wednesday,Morning,EGLINTON STATION,N,YU,15,Human & Operational Factors
1,Winter,Wednesday,Morning,FINCH STATION,S,YU,8,Other
1,Winter,Wednesday,Morning,FINCH STATION,S,YU,6,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Wednesday,Morning,EGLINTON STATION,N,YU,6,Other
1,Winter,Wednesday,Morning,FINCH STATION,S,YU,6,Other
1,Winter,Wednesday,Afternoon,KIPLING STATION,W,BD,8,Other
1,Winter,Wednesday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Afternoon,KIPLING STATION,E,BD,8,Miscellaneous & Passenger-Related Incidents
1,Winter,Wednesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Morning,KENNEDY BD STATION,W,BD,8,Other
1,Winter,Thursday,Morning,KIPLING STATION,W,BD,8,Other
0,Winter,Thursday,Morning,FINCH STATION,N,YU,0,Human & Operational Factors
0,Winter,Thursday,Morning,FINCH STATION,N,YU,0,Human & Operational Factors
1,Winter,Thursday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Evening,EGLINTON STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Thursday,Evening,BLOOR STATION,N,YU,0,Other
1,Winter,Thursday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Friday,Morning,EGLINTON STATION,N,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Friday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Friday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Friday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Afternoon,BLOOR STATION,N,YU,7,Other
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Friday,Afternoon,EGLINTON STATION,N,YU,0,Other
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Friday,Evening,EGLINTON STATION,N,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Friday,Evening,KIPLING STATION,E,BD,0,Other
1,Winter,Friday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Night,FINCH STATION,S,YU,10,Human & Operational Factors
1,Winter,Friday,Night,EGLINTON STATION,S,YU,10,Other
0,Winter,Saturday,Morning,EGLINTON STATION,N,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Saturday,Morning,KENNEDY BD STATION,W,BD,10,Other
0,Winter,Saturday,Morning,KENNEDY BD STATION,W,BD,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Saturday,Morning,EGLINTON STATION,S,YU,8,Other
1,Winter,Saturday,Evening,FINCH STATION,S,YU,8,Human & Operational Factors
1,Winter,Saturday,Night,FINCH STATION,S,YU,14,Human & Operational Factors
1,Winter,Saturday,Night,KENNEDY BD STATION,W,BD,14,Other
1,Winter,Saturday,Night,BLOOR STATION,N,YU,13,Other
0,Winter,Sunday,Morning,FINCH STATION,S,YU,0,Human & Operational Factors
1,Winter,Sunday,Morning,KIPLING STATION,E,BD,10,Human & Operational Factors
1,Winter,Sunday,Morning,KENNEDY BD STATION,W,BD,10,Other
1,Winter,Sunday,Afternoon,KENNEDY BD STATION,W,BD,10,Other
1,Winter,Sunday,Evening,KENNEDY BD STATION,E,BD,19,Other
0,Winter,Monday,Morning,FINCH STATION,N,YU,0,Human & Operational Factors
1,Winter,Monday,Morning,EGLINTON STATION,S,YU,10,Other
1,Winter,Monday,Afternoon,FINCH STATION,S,YU,8,Human & Operational Factors
1,Winter,Monday,Afternoon,KENNEDY BD STATION,E,BD,8,Other
1,Winter,Monday,Afternoon,KIPLING STATION,E,BD,8,Human & Operational Factors
0,Winter,Monday,Afternoon,BLOOR STATION,S,YU,0,Other
1,Winter,Monday,Evening,KIPLING STATION,E,BD,7,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Monday,Night,KIPLING STATION,E,BD,14,Other
1,Winter,Monday,Night,KENNEDY BD STATION,W,BD,14,Miscellaneous & Passenger-Related Incidents
1,Winter,Monday,Night,KENNEDY BD STATION,E,BD,32,Human & Operational Factors
0,Winter,Tuesday,Morning,KIPLING STATION,E,BD,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Tuesday,Morning,KENNEDY BD STATION,W,BD,7,Miscellaneous & Passenger-Related Incidents
0,Winter,Tuesday,Afternoon,EGLINTON STATION,S,YU,0,Miscellaneous & Passenger-Related Incidents
0,Winter,Tuesday,Night,FINCH STATION,S,YU,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Tuesday,Night,EGLINTON STATION,S,YU,10,Other
0,Winter,Tuesday,Night,BLOOR STATION,N,YU,0,Other
1,Winter,Wednesday,Morning,KIPLING STATION,E,BD,8,Other
0,Winter,Wednesday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Wednesday,Morning,FINCH STATION,S,YU,7,Human & Operational Factors
1,Winter,Wednesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Afternoon,BLOOR STATION,N,YU,10,Other
1,Winter,Wednesday,Afternoon,EGLINTON STATION,S,YU,6,Other
1,Winter,Wednesday,Afternoon,FINCH STATION,W,YU,6,Human & Operational Factors
1,Winter,Wednesday,Afternoon,FINCH STATION,S,YU,8,Miscellaneous & Passenger-Related Incidents
1,Winter,Wednesday,Evening,KENNEDY BD STATION,W,BD,12,Other
1,Winter,Wednesday,Evening,KENNEDY BD STATION,W,BD,12,Other
0,Winter,Wednesday,Night,BLOOR STATION,N,YU,0,Other
0,Winter,Wednesday,Night,FINCH STATION,S,YU,0,Other
0,Winter,Thursday,Night,FINCH STATION,S,YU,0,Other
0,Winter,Thursday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Thursday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Thursday,Morning,FINCH STATION,S,YU,7,Other
1,Winter,Thursday,Afternoon,KENNEDY BD STATION,W,BD,8,Other
1,Winter,Thursday,Afternoon,KENNEDY BD STATION,E,BD,8,Other
0,Winter,Thursday,Evening,BLOOR STATION,N,YU,0,Other
0,Winter,Thursday,Night,BLOOR STATION,S,YU,0,Other
0,Winter,Friday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Friday,Morning,EGLINTON STATION,S,YU,6,Miscellaneous & Passenger-Related Incidents
1,Winter,Friday,Morning,EGLINTON STATION,S,YU,6,Miscellaneous & Passenger-Related Incidents
1,Winter,Friday,Afternoon,EGLINTON STATION,S,YU,19,Other
0,Winter,Friday,Afternoon,FINCH STATION,N,YU,0,Other
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Miscellaneous & Passenger-Related Incidents
0,Winter,Friday,Afternoon,KENNEDY BD STATION,E,BD,0,Human & Operational Factors
0,Winter,Friday,Afternoon,BLOOR STATION,N,YU,0,Other
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Other
0,Winter,Friday,Night,EGLINTON STATION,N,YU,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Friday,Night,KENNEDY BD STATION,W,BD,14,Miscellaneous & Passenger-Related Incidents
1,Winter,Saturday,Morning,EGLINTON STATION,S,YU,14,Other
0,Winter,Saturday,Afternoon,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Saturday,Evening,FINCH STATION,S,YU,8,Other
1,Winter,Saturday,Evening,KIPLING STATION,W,BD,8,Miscellaneous & Passenger-Related Incidents
1,Winter,Saturday,Evening,EGLINTON STATION,S,YU,7,Other
1,Winter,Saturday,Night,BLOOR STATION,S,YU,10,Other
1,Winter,Sunday,Morning,KIPLING STATION,E,BD,8,Other
1,Winter,Sunday,Afternoon,EGLINTON STATION,S,YU,8,Other
0,Winter,Sunday,Evening,FINCH STATION,S,YU,0,Other
1,Winter,Sunday,Evening,KENNEDY BD STATION,E,BD,10,Miscellaneous & Passenger-Related Incidents
1,Winter,Sunday,Evening,KIPLING STATION,E,BD,10,Human & Operational Factors
1,Winter,Sunday,Night,KIPLING STATION,W,BD,14,Human & Operational Factors
0,Winter,Sunday,Night,FINCH STATION,S,YU,0,Other
1,Winter,Monday,Morning,EGLINTON STATION,S,YU,9,Other
0,Winter,Monday,Morning,BLOOR STATION,S,YU,0,Other
1,Winter,Monday,Morning,KENNEDY BD STATION,W,BD,8,Train Operations & Control Systems
1,Winter,Monday,Afternoon,KENNEDY BD STATION,E,BD,8,Other
1,Winter,Monday,Afternoon,KIPLING STATION,E,BD,9,Miscellaneous & Passenger-Related Incidents
0,Winter,Monday,Afternoon,BLOOR STATION,S,YU,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Monday,Evening,FINCH STATION,S,YU,6,Other
0,Winter,Monday,Evening,BLOOR STATION,S,YU,0,Other
1,Winter,Monday,Evening,FINCH STATION,S,YU,10,Human & Operational Factors
1,Winter,Monday,Night,FINCH STATION,S,YU,10,Human & Operational Factors
1,Winter,Monday,Night,KENNEDY BD STATION,W,BD,14,Miscellaneous & Passenger-Related Incidents
1,Winter,Tuesday,Afternoon,KIPLING STATION,E,BD,8,Human & Operational Factors
0,Winter,Tuesday,Afternoon,BLOOR STATION,N,YU,0,Other
0,Winter,Tuesday,Evening,BLOOR STATION,S,YU,0,Human & Operational Factors
1,Winter,Tuesday,Evening,FINCH STATION,S,YU,21,Train Operations & Control Systems
0,Winter,Wednesday,Morning,BLOOR STATION,N,YU,0,Other
0,Winter,Wednesday,Afternoon,BLOOR STATION,N,YU,0,Other
1,Winter,Wednesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Wednesday,Evening,KENNEDY BD STATION,W,BD,0,Other
0,Winter,Wednesday,Evening,KENNEDY BD STATION,W,BD,0,Other
1,Winter,Wednesday,Night,FINCH STATION,N,YU,20,Human & Operational Factors
1,Winter,Wednesday,Night,FINCH STATION,S,YU,8,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Wednesday,Night,KENNEDY BD STATION,E,BD,0,Other
1,Winter,Thursday,Morning,FINCH STATION,N,YU,22,Train Operations & Control Systems
1,Winter,Thursday,Morning,FINCH STATION,S,YU,8,Human & Operational Factors
1,Winter,Thursday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Afternoon,KIPLING STATION,E,BD,7,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Thursday,Afternoon,EGLINTON STATION,N,YU,0,Other
1,Winter,Thursday,Evening,KIPLING STATION,W,BD,10,Human & Operational Factors
1,Winter,Thursday,Night,FINCH STATION,N,YU,6,Other
1,Winter,Thursday,Night,BLOOR STATION,S,YU,12,Other
1,Winter,Thursday,Night,FINCH STATION,S,YU,6,Miscellaneous & Passenger-Related Incidents
1,Winter,Thursday,Night,KIPLING STATION,W,BD,14,Human & Operational Factors
1,Winter,Friday,Morning,EGLINTON STATION,N,YU,10,Human & Operational Factors
0,Winter,Friday,Morning,BLOOR STATION,N,YU,0,Other
1,Winter,Friday,Morning,FINCH STATION,S,YU,6,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Friday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Friday,Morning,EGLINTON STATION,S,YU,11,Other
1,Winter,Friday,Morning,KENNEDY BD STATION,W,BD,8,Other
0,Winter,Friday,Morning,FINCH STATION,N,YU,0,Human & Operational Factors
0,Winter,Friday,Afternoon,KIPLING STATION,E,BD,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Friday,Afternoon,KIPLING STATION,E,BD,14,Other
0,Winter,Friday,Evening,KIPLING STATION,W,BD,0,Miscellaneous & Passenger-Related Incidents
1,Winter,Friday,Evening,KIPLING STATION,E,BD,7,Miscellaneous & Passenger-Related Incidents
1,Winter,Friday,Evening,EGLINTON STATION,N,YU,18,Other
1,Winter,Friday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Friday,Evening,FINCH STATION,S,YU,21,Other
1,Winter,Friday,Night,KIPLING STATION,W,BD,14,Human & Operational Factors
1,Winter,Friday,Night,KENNEDY BD STATION,W,BD,11,Other
0,Winter,Friday,Night,KIPLING STATION,E,BD,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Saturday,Night,KIPLING STATION,W,BD,0,Other
1,Winter,Saturday,Morning,KENNEDY BD STATION,E,BD,10,Other
0,Winter,Saturday,Morning,BLOOR STATION,N,YU,0,Human & Operational Factors
1,Winter,Saturday,Morning,KIPLING STATION,E,BD,10,Other
1,Winter,Saturday,Night,BLOOR STATION,N,YU,14,Other
0,Winter,Saturday,Night,BLOOR STATION,N,YU,0,Other
1,Winter,Saturday,Night,BLOOR STATION,S,YU,14,Other
1,Winter,Sunday,Morning,KIPLING STATION,E,BD,10,Other
0,Winter,Sunday,Afternoon,BLOOR STATION,S,YU,0,Other
0,Winter,Sunday,Afternoon,KIPLING STATION,W,BD,0,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Sunday,Night,BLOOR STATION,N,YU,0,Other
0,Winter,Monday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Monday,Morning,EGLINTON STATION,S,YU,30,Other
0,Winter,Monday,Morning,KIPLING STATION,E,BD,0,Miscellaneous & Passenger-Related Incidents
0,Winter,Monday,Evening,BLOOR STATION,S,YU,0,Other
1,Winter,Monday,Evening,EGLINTON STATION,N,YU,6,Electrical and Mechanical Systems (Train Equipment & Power)
0,Winter,Monday,Evening,KENNEDY BD STATION,W,BD,0,Other
0,Winter,Monday,Night,EGLINTON STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Monday,Night,FINCH STATION,S,YU,23,Train Operations & Control Systems
0,Winter,Tuesday,Morning,EGLINTON STATION,N,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,22,Human & Operational Factors
0,Winter,Tuesday,Afternoon,FINCH STATION,S,YU,0,Human & Operational Factors
1,Winter,Tuesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Tuesday,Evening,KENNEDY BD STATION,W,BD,14,Miscellaneous & Passenger-Related Incidents
1,Winter,Tuesday,Evening,KIPLING STATION,E,BD,8,Train Operations & Control Systems
1,Winter,Tuesday,Night,KENNEDY BD STATION,W,BD,14,Miscellaneous & Passenger-Related Incidents
1,Winter,Tuesday,Night,KENNEDY BD STATION,W,BD,14,Other
0,Winter,Tuesday,Night,FINCH STATION,S,YU,0,Other
0,Winter,Wednesday,Morning,FINCH STATION,S,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Wednesday,Morning,FINCH STATION,S,YU,6,Human & Operational Factors
0,Winter,Wednesday,Afternoon,FINCH STATION,N,YU,0,Electrical and Mechanical Systems (Train Equipment & Power)
1,Winter,Wednesday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Wednesday,Night,EGLINTON STATION,N,YU,15,Other
1,Winter,Thursday,Morning,FINCH STATION,N,YU,6,Other
1,Winter,Thursday,Morning,EGLINTON STATION,S,YU,11,Other
1,Winter,Thursday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Afternoon,EGLINTON STATION,N,YU,7,Other
1,Winter,Thursday,Afternoon,FINCH STATION,S,YU,6,Other
1,Winter,Thursday,Afternoon,KIPLING STATION,W,BD,8,Human & Operational Factors
1,Winter,Thursday,Afternoon,FINCH STATION,N,YU,6,Human & Operational Factors
1,Winter,Thursday,Evening,FINCH STATION,S,YU,8,Human & Operational Factors
0,Winter,Thursday,Evening,BLOOR STATION,S,YU,0,Other
1,Winter,Thursday,Evening,FINCH STATION,S,YU,6,Human & Operational Factors
1,Winter,Thursday,Night,FINCH STATION,S,YU,9,Human & Operational Factors
1,Winter,Thursday,Night,FINCH STATION,S,YU,10,Human & Operational Factors
1,Winter,Friday,Morning,BLOOR STATION,N,YU,6,Other
1,Winter,Friday,Morning,FINCH STATION,S,YU,6,Other
1,Winter,Friday,Morning,EGLINTON STATION,S,YU,6,Other
1,Winter,Friday,Afternoon,FINCH STATION,S,YU,6,Human & Operational Factors
